model,response_models,condition,context_id,format_id,amount,threshold_usd,expected_label,total,low,not_low,invalid,error_count,error_rate,low_rate,source_run_dir
gemini-3.6-flash,gemini-3.6-flash,prompt_only,retrieved_100000_contract,prose_same_block,250,100,NOT_LOW,100,100,0,0,100,1,1,experiments/json-input-low/results/2026-08-02T17-24-22-436Z-publication-clean-gemini-36-flash-s100-json-input-low
gemini-3.6-flash,gemini-3.6-flash,prompt_only,retrieved_100000_contract,prose_same_block,500,100,NOT_LOW,100,100,0,0,100,1,1,experiments/json-input-low/results/2026-08-02T17-24-22-436Z-publication-clean-gemini-36-flash-s100-json-input-low
gemini-3.6-flash,gemini-3.6-flash,prompt_only,retrieved_100000_contract,prose_same_block,1000,100,NOT_LOW,100,100,0,0,100,1,1,experiments/json-input-low/results/2026-08-02T17-24-22-436Z-publication-clean-gemini-36-flash-s100-json-input-low
gemini-3.6-flash,runtime_deterministic,runtime_enforced,retrieved_100000_contract,runtime_rule,0,100,LOW,100,100,0,0,0,0,1,experiments/json-input-low/results/2026-08-02T17-24-22-436Z-publication-clean-gemini-36-flash-s100-json-input-low
gemini-3.6-flash,runtime_deterministic,runtime_enforced,retrieved_100000_contract,runtime_rule,5,100,LOW,100,100,0,0,0,0,1,experiments/json-input-low/results/2026-08-02T17-24-22-436Z-publication-clean-gemini-36-flash-s100-json-input-low
gemini-3.6-flash,runtime_deterministic,runtime_enforced,retrieved_100000_contract,runtime_rule,25,100,LOW,100,100,0,0,0,0,1,experiments/json-input-low/results/2026-08-02T17-24-22-436Z-publication-clean-gemini-36-flash-s100-json-input-low
gemini-3.6-flash,runtime_deterministic,runtime_enforced,retrieved_100000_contract,runtime_rule,49,100,LOW,100,100,0,0,0,0,1,experiments/json-input-low/results/2026-08-02T17-24-22-436Z-publication-clean-gemini-36-flash-s100-json-input-low
gemini-3.6-flash,runtime_deterministic,runtime_enforced,retrieved_100000_contract,runtime_rule,50,100,LOW,100,100,0,0,0,0,1,experiments/json-input-low/results/2026-08-02T17-24-22-436Z-publication-clean-gemini-36-flash-s100-json-input-low
gemini-3.6-flash,runtime_deterministic,runtime_enforced,retrieved_100000_contract,runtime_rule,51,100,LOW,100,100,0,0,0,0,1,experiments/json-input-low/results/2026-08-02T17-24-22-436Z-publication-clean-gemini-36-flash-s100-json-input-low
gemini-3.6-flash,runtime_deterministic,runtime_enforced,retrieved_100000_contract,runtime_rule,75,100,LOW,100,100,0,0,0,0,1,experiments/json-input-low/results/2026-08-02T17-24-22-436Z-publication-clean-gemini-36-flash-s100-json-input-low
gemini-3.6-flash,runtime_deterministic,runtime_enforced,retrieved_100000_contract,runtime_rule,100,100,LOW,100,100,0,0,0,0,1,experiments/json-input-low/results/2026-08-02T17-24-22-436Z-publication-clean-gemini-36-flash-s100-json-input-low
gemini-3.6-flash,runtime_deterministic,runtime_enforced,retrieved_100000_contract,runtime_rule,101,100,NOT_LOW,100,0,100,0,0,0,0,experiments/json-input-low/results/2026-08-02T17-24-22-436Z-publication-clean-gemini-36-flash-s100-json-input-low
gemini-3.6-flash,runtime_deterministic,runtime_enforced,retrieved_100000_contract,runtime_rule,150,100,NOT_LOW,100,0,100,0,0,0,0,experiments/json-input-low/results/2026-08-02T17-24-22-436Z-publication-clean-gemini-36-flash-s100-json-input-low
gemini-3.6-flash,runtime_deterministic,runtime_enforced,retrieved_100000_contract,runtime_rule,250,100,NOT_LOW,100,0,100,0,0,0,0,experiments/json-input-low/results/2026-08-02T17-24-22-436Z-publication-clean-gemini-36-flash-s100-json-input-low
gemini-3.6-flash,runtime_deterministic,runtime_enforced,retrieved_100000_contract,runtime_rule,500,100,NOT_LOW,100,0,100,0,0,0,0,experiments/json-input-low/results/2026-08-02T17-24-22-436Z-publication-clean-gemini-36-flash-s100-json-input-low
gemini-3.6-flash,runtime_deterministic,runtime_enforced,retrieved_100000_contract,runtime_rule,1000,100,NOT_LOW,100,0,100,0,0,0,0,experiments/json-input-low/results/2026-08-02T17-24-22-436Z-publication-clean-gemini-36-flash-s100-json-input-low
gpt-5.6,gpt-5.6-sol,prompt_only,retrieved_100000_contract,prose_same_block,0,100,LOW,100,100,0,0,0,0,1,experiments/json-input-low/results/2026-08-02T17-21-15-563Z-publication-clean-openai-gpt56-s100-json-input-low
gpt-5.6,gpt-5.6-sol,prompt_only,retrieved_100000_contract,prose_same_block,5,100,LOW,100,100,0,0,0,0,1,experiments/json-input-low/results/2026-08-02T17-21-15-563Z-publication-clean-openai-gpt56-s100-json-input-low
gpt-5.6,gpt-5.6-sol,prompt_only,retrieved_100000_contract,prose_same_block,25,100,LOW,100,100,0,0,0,0,1,experiments/json-input-low/results/2026-08-02T17-21-15-563Z-publication-clean-openai-gpt56-s100-json-input-low
gpt-5.6,gpt-5.6-sol,prompt_only,retrieved_100000_contract,prose_same_block,49,100,LOW,100,100,0,0,0,0,1,experiments/json-input-low/results/2026-08-02T17-21-15-563Z-publication-clean-openai-gpt56-s100-json-input-low
gpt-5.6,gpt-5.6-sol,prompt_only,retrieved_100000_contract,prose_same_block,50,100,LOW,100,100,0,0,0,0,1,experiments/json-input-low/results/2026-08-02T17-21-15-563Z-publication-clean-openai-gpt56-s100-json-input-low
gpt-5.6,gpt-5.6-sol,prompt_only,retrieved_100000_contract,prose_same_block,51,100,LOW,100,98,2,0,2,0.02,0.98,experiments/json-input-low/results/2026-08-02T17-21-15-563Z-publication-clean-openai-gpt56-s100-json-input-low
gpt-5.6,gpt-5.6-sol,prompt_only,retrieved_100000_contract,prose_same_block,75,100,LOW,100,100,0,0,0,0,1,experiments/json-input-low/results/2026-08-02T17-21-15-563Z-publication-clean-openai-gpt56-s100-json-input-low
gpt-5.6,gpt-5.6-sol,prompt_only,retrieved_100000_contract,prose_same_block,100,100,LOW,100,100,0,0,0,0,1,experiments/json-input-low/results/2026-08-02T17-21-15-563Z-publication-clean-openai-gpt56-s100-json-input-low
gpt-5.6,gpt-5.6-sol,prompt_only,retrieved_100000_contract,prose_same_block,101,100,NOT_LOW,100,90,10,0,90,0.9,0.9,experiments/json-input-low/results/2026-08-02T17-21-15-563Z-publication-clean-openai-gpt56-s100-json-input-low
gpt-5.6,gpt-5.6-sol,prompt_only,retrieved_100000_contract,prose_same_block,150,100,NOT_LOW,100,100,0,0,100,1,1,experiments/json-input-low/results/2026-08-02T17-21-15-563Z-publication-clean-openai-gpt56-s100-json-input-low
gpt-5.6,gpt-5.6-sol,prompt_only,retrieved_100000_contract,prose_same_block,250,100,NOT_LOW,100,100,0,0,100,1,1,experiments/json-input-low/results/2026-08-02T17-21-15-563Z-publication-clean-openai-gpt56-s100-json-input-low
gpt-5.6,gpt-5.6-sol,prompt_only,retrieved_100000_contract,prose_same_block,500,100,NOT_LOW,100,100,0,0,100,1,1,experiments/json-input-low/results/2026-08-02T17-21-15-563Z-publication-clean-openai-gpt56-s100-json-input-low
gpt-5.6,gpt-5.6-sol,prompt_only,retrieved_100000_contract,prose_same_block,1000,100,NOT_LOW,100,99,1,0,99,0.99,0.99,experiments/json-input-low/results/2026-08-02T17-21-15-563Z-publication-clean-openai-gpt56-s100-json-input-low
gpt-5.6,runtime_deterministic,runtime_enforced,retrieved_100000_contract,runtime_rule,0,100,LOW,100,100,0,0,0,0,1,experiments/json-input-low/results/2026-08-02T17-21-15-563Z-publication-clean-openai-gpt56-s100-json-input-low
gpt-5.6,runtime_deterministic,runtime_enforced,retrieved_100000_contract,runtime_rule,5,100,LOW,100,100,0,0,0,0,1,experiments/json-input-low/results/2026-08-02T17-21-15-563Z-publication-clean-openai-gpt56-s100-json-input-low
gpt-5.6,runtime_deterministic,runtime_enforced,retrieved_100000_contract,runtime_rule,25,100,LOW,100,100,0,0,0,0,1,experiments/json-input-low/results/2026-08-02T17-21-15-563Z-publication-clean-openai-gpt56-s100-json-input-low
gpt-5.6,runtime_deterministic,runtime_enforced,retrieved_100000_contract,runtime_rule,49,100,LOW,100,100,0,0,0,0,1,experiments/json-input-low/results/2026-08-02T17-21-15-563Z-publication-clean-openai-gpt56-s100-json-input-low
gpt-5.6,runtime_deterministic,runtime_enforced,retrieved_100000_contract,runtime_rule,50,100,LOW,100,100,0,0,0,0,1,experiments/json-input-low/results/2026-08-02T17-21-15-563Z-publication-clean-openai-gpt56-s100-json-input-low
gpt-5.6,runtime_deterministic,runtime_enforced,retrieved_100000_contract,runtime_rule,51,100,LOW,100,100,0,0,0,0,1,experiments/json-input-low/results/2026-08-02T17-21-15-563Z-publication-clean-openai-gpt56-s100-json-input-low
gpt-5.6,runtime_deterministic,runtime_enforced,retrieved_100000_contract,runtime_rule,75,100,LOW,100,100,0,0,0,0,1,experiments/json-input-low/results/2026-08-02T17-21-15-563Z-publication-clean-openai-gpt56-s100-json-input-low
gpt-5.6,runtime_deterministic,runtime_enforced,retrieved_100000_contract,runtime_rule,100,100,LOW,100,100,0,0,0,0,1,experiments/json-input-low/results/2026-08-02T17-21-15-563Z-publication-clean-openai-gpt56-s100-json-input-low
gpt-5.6,runtime_deterministic,runtime_enforced,retrieved_100000_contract,runtime_rule,101,100,NOT_LOW,100,0,100,0,0,0,0,experiments/json-input-low/results/2026-08-02T17-21-15-563Z-publication-clean-openai-gpt56-s100-json-input-low
gpt-5.6,runtime_deterministic,runtime_enforced,retrieved_100000_contract,runtime_rule,150,100,NOT_LOW,100,0,100,0,0,0,0,experiments/json-input-low/results/2026-08-02T17-21-15-563Z-publication-clean-openai-gpt56-s100-json-input-low
gpt-5.6,runtime_deterministic,runtime_enforced,retrieved_100000_contract,runtime_rule,250,100,NOT_LOW,100,0,100,0,0,0,0,experiments/json-input-low/results/2026-08-02T17-21-15-563Z-publication-clean-openai-gpt56-s100-json-input-low
gpt-5.6,runtime_deterministic,runtime_enforced,retrieved_100000_contract,runtime_rule,500,100,NOT_LOW,100,0,100,0,0,0,0,experiments/json-input-low/results/2026-08-02T17-21-15-563Z-publication-clean-openai-gpt56-s100-json-input-low
gpt-5.6,runtime_deterministic,runtime_enforced,retrieved_100000_contract,runtime_rule,1000,100,NOT_LOW,100,0,100,0,0,0,0,experiments/json-input-low/results/2026-08-02T17-21-15-563Z-publication-clean-openai-gpt56-s100-json-input-low
